basename,category,detection,segmentation_auger,segmentation_mmu_ego_view,segmentation_danger_zone,characterisation,captions
BM276:MV-00004:zedx:20250414-214927_104.jpg,,person; auger-head; person,"[[[1223.748, 348.031], [1195.576, 355.175], [1074.553, 433.76], [968.721, 502.01], [950.759, 503.209], [950.213, 506.853], [943.109, 507.946], [928.903, 517.237], [930.629, 528.999], [917.68, 537.023], [936.046, 558.796], [930.831, 564.012], [919.494, 569.228], [919.796, 575.171], [927.628, 577.721], [944.795, 566.214], [951.004, 571.444], [964.075, 564.907], [969.957, 556.409], [974.532, 558.37], [983.653, 555.533], [985.292, 553.164], [993.124, 554.075], [1006.966, 553.529], [1016.62, 547.152], [1014.398, 526.992], [1140.024, 438.126], [1151.928, 437.729], [1164.626, 427.807], [1169.784, 417.884], [1222.406, 380.217]]]","[[[1260.862, 0], [1254.718, 28.62], [1239.205, 49.604], [1240.394, 53.575], [1243.812, 57.77], [1251.107, 63.123], [1249.77, 72.461], [1231.939, 75.281], [1232.251, 91.067], [1245.892, 89.327], [1242.95, 107.901], [1234.124, 116.869], [1240.81, 123.295], [1238.975, 145.169], [1235.691, 163.227], [1234.519, 180.347], [1234.284, 195.825], [1234.05, 207.317], [1230.532, 216.697], [1230.112, 227.341], [1232.519, 237.514], [1229.71, 241.262], [1229.292, 258.566], [1228.567, 273.588], [1227.828, 284.68], [1226.635, 297.753], [1219.146, 307.124], [1225.164, 312.076], [1224.569, 350.107], [1223.356, 376.654], [1221.922, 404.623], [1218.016, 404.247], [1211.015, 404.153], [1209.785, 414.817], [1219.022, 418.22], [1215.857, 471.883], [1213.762, 500.747], [1212.659, 526.079], [1211.777, 542.194], [1193.121, 539.604], [1190.478, 562.467], [1207.632, 566.51], [1206.111, 604.309], [1202.071, 616.036], [1199.378, 626.28], [1198.032, 635.715], [1201.17, 645.125], [1206.111, 651.182], [1205.57, 681.421], [1203.095, 740.219], [1199.933, 787.629], [1197.183, 827.573], [1194.709, 861.187], [1193.059, 888.022], [1192.069, 907.758], [1186.997, 964.437], [1184.023, 1008.951], [1181.927, 1040.849], [1179.85, 1086.286], [1178.961, 1133.235], [1176.193, 1199], [1919, 1199], [1919, 0]]]","[[[1224, 354], [917, 564], [429, 1199], [1172, 1199]]]","auger, auger_occluded, people, auger_head_in_shadow, bench","The image captures a scene from a construction site, where two workers are actively engaged in their tasks. The workers, dressed in bright orange safety vests, are positioned on a pile of gravel, indicating they might be involved in grading or excavation work. One of the workers is wearing a hat, suggesting they are taking necessary precautions against sun exposure. The gravel is scattered around, adding to the rugged terrain of the site. In the background, a large white truck is parked, possibly used for transporting materials or equipment. The truck's size and location suggest it plays a significant role in the ongoing construction activities. The sky above is clear, indicating favorable weather conditions for the work to be carried out. The overall scene depicts a typical day at a construction site, where safety measures are being diligently followed to ensure the well-being of the workers."
BM276:MV-00004:zedx:20250414-213127_28.jpg,,person; auger-head; person,"[[[1223.022, 386.848], [1225.505, 352.745], [1196.189, 360.65], [983.836, 520.563], [974.648, 527.436], [958.027, 530.662], [945.509, 542.526], [945.09, 555.101], [926.433, 569.982], [932.093, 583.605], [929.997, 591.36], [935.365, 600.64], [940.478, 601.42], [945.09, 604.145], [959.345, 591.36], [967.101, 593.246], [982.414, 577.431], [986.711, 580.719], [993.806, 579.302], [995.807, 572.096], [1000.211, 571.896], [1008.218, 575.498], [1022.029, 572.696], [1027.233, 569.293], [1025.031, 548.276], [1067.205, 515.383], [1151.524, 445.522], [1162.33, 443.67], [1167.167, 438.318], [1172.21, 432.246], [1172.115, 426.813]]]","[[[1262.28, 0], [1257.07, 31.951], [1241.704, 51.951], [1241.339, 56.679], [1247.041, 61.134], [1252.68, 65.61], [1251.46, 74.39], [1248.046, 78.292], [1246.417, 98.746], [1246.095, 109.512], [1236.339, 120.731], [1241.252, 128.512], [1239.786, 147.464], [1236.952, 164.776], [1235.682, 183.018], [1235.78, 196.272], [1235.682, 209.183], [1232.653, 215.345], [1230.894, 221.214], [1229.934, 230.291], [1232.42, 239.886], [1230.86, 246.518], [1228.592, 256.616], [1226.328, 270.884], [1225.482, 287.313], [1226.08, 301.665], [1218.717, 309.449], [1225.949, 315.575], [1225.054, 343.565], [1223.881, 371.687], [1222.928, 407.014], [1216.386, 406.51], [1211.101, 410.914], [1210.346, 416.576], [1219.192, 420.363], [1217.022, 459.826], [1215.329, 489.128], [1213.13, 519.025], [1212.665, 540.486], [1194.073, 539.974], [1190.898, 562.512], [1211.488, 566.783], [1209.987, 600.769], [1206.206, 612.649], [1202.373, 622.303], [1200.271, 633.317], [1201.799, 643.901], [1207.493, 652.858], [1206.282, 676.511], [1203.575, 733.43], [1201.168, 776.043], [1198.973, 815.76], [1196.774, 857.893], [1195.046, 886.11], [1191.54, 913.409], [1187.255, 958.999], [1184.547, 996.869], [1182.353, 1039.822], [1180.572, 1073.26], [1180.402, 1118.113], [1178.374, 1199], [1919, 1199], [1919, 0]]]","[[[1224, 358], [926, 594], [408, 1199], [1173, 1199]]]","auger, people, auger_head_in_shadow, bench","In the foreground, a large white vehicle, possibly a truck or a specialized piece of machinery, dominates the scene. Its surface is marked with visible wear and tear, suggesting it has been in use for some time. The vehicle's design is utilitarian, with a focus on functionality rather than aesthetics.

Behind this vehicle, two individuals are present. One person is wearing a bright orange safety vest, which stands out against the muted tones of the surrounding environment. This individual appears to be engaged in some form of work or activity, possibly related to the vehicle.

The setting is an expansive open pit mine. The pit itself is a vast expanse of rugged terrain, characterized by its rough and uneven surface. The pit is divided into distinct layers, each with its own unique color and texture, indicating different geological formations. The pit's depth is considerable, and its edges are steep, creating a dramatic contrast between the dark interior and the lighter exterior.

The sky above is clear, with no visible clouds. The sunlight illuminates the scene, casting long shadows and highlighting the textures of the landscape. The overall atmosphere is one of industriousness and activity, with the two individuals seemingly contributing to the ongoing operations at the mine."
BM276:MV-00004:zedx:20250131-021847_0.jpg,,auger-head,"[[[1229.912, 337.488], [1199.1, 338.45], [954.209, 415.159], [941, 408], [914.234, 416.693], [913.92, 423.744], [889.322, 431.891], [888.225, 449.753], [887.128, 458.997], [890.262, 472.472], [894.335, 478.426], [903, 480], [920.814, 472.158], [921.598, 475.919], [925.202, 479.522], [928.178, 481.402], [945.413, 474.665], [947.92, 469.495], [949.487, 469.338], [951.524, 472.158], [954.501, 472.315], [959.671, 471.845], [963.432, 470.278], [964.999, 469.025], [965.155, 471.688], [967.035, 474.822], [970.169, 476.702], [981.293, 476.702], [991.948, 475.292], [1000.095, 472.002], [1000.878, 469.808], [1001.035, 450.536], [1139.541, 400.242], [1146.5, 401.35], [1154.5, 400.65], [1159.9, 398.35], [1163.3, 396.05], [1165.9, 392.65], [1167.8, 389.55], [1230.554, 366.695]]]",,"[[[1226, 356], [887, 457], [435, 1199], [1153, 1199]]]","auger, road","The image captures a scene from an aerial perspective, showcasing a white truck parked on a gravel surface. The truck, with its side profile visible, is positioned near a large white building with a gray roof. The truck's side is adorned with a yellow and white striped pattern, adding a touch of color to the otherwise monochrome vehicle.

In the background, a variety of objects can be seen scattered across the area. A yellow ladder and a pink ladder are positioned on the left side of the image, standing upright on the gravel. A white fence runs parallel to the truck, separating it from the building. The fence is punctuated by several trees, their green leaves contrasting with the clear blue sky above.

The sky itself is a beautiful shade of blue, dotted with fluffy white clouds that add depth to the scene. The overall atmosphere is serene and peaceful, with the natural elements blending harmoniously with the man-made structures. The image is a blend of urban and natural elements, captured from a bird's eye view, providing a comprehensive view of the scene."
BM276:MV-00004:zedx:20250414-213236_112.jpg,,person; auger-head; person,"[[[1225.382, 349.936], [1195.954, 358.647], [1130.193, 404], [1065.236, 447.139], [964.343, 515.019], [958.637, 512.916], [938.218, 525.231], [937, 536], [919, 548.959], [924.405, 564.277], [923.505, 569.983], [928.609, 582.899], [937.317, 586.503], [954.433, 572.386], [959.838, 579.294], [972.15, 572.386], [982.156, 563.641], [990.263, 564.242], [994.767, 559.737], [1010.682, 560.337], [1026, 555], [1023.498, 532.139], [1148.811, 438.841], [1158.119, 437.639], [1169.53, 429.53], [1173.133, 420.519], [1222.979, 386.579]]]","[[[1259.767, 0], [1254.211, 31.449], [1240.01, 51.363], [1240.473, 56.299], [1251.587, 65.106], [1250.043, 73.745], [1246.493, 75.596], [1244.795, 109.422], [1234.762, 119.603], [1242.634, 125.465], [1235.688, 164.661], [1234.916, 181.475], [1235.842, 208.499], [1230.749, 217.292], [1229.823, 224.234], [1230.594, 231.946], [1233.218, 240.739], [1229.514, 245.521], [1226.736, 301.883], [1223.803, 303.58], [1222.105, 306.82], [1221.939, 311.968], [1226.118, 315.304], [1222.877, 406.066], [1210.991, 408.086], [1210.991, 417.65], [1219.944, 418.098], [1215.005, 473.829], [1214.173, 541.505], [1194.411, 542.938], [1191.388, 566.412], [1211.146, 570.915], [1210.937, 605.891], [1200.729, 624.005], [1200.729, 640.869], [1208.83, 653.178], [1202.965, 751.667], [1187.013, 970.893], [1183.894, 1023.101], [1179.606, 1108.002], [1172.538, 1135.226], [1174.951, 1199], [1919, 1199], [1919, 0]]]","[[[1223, 363], [919, 566], [435, 1199], [1173, 1199]]]","auger, people, auger_head_in_shadow, bench","In the foreground, a portion of a large white vehicle, likely a mining truck or similar heavy machinery, is visible. The vehicle's white body is contrasted by a prominent, curved metal pipe that extends from its side. The pipe appears sturdy and is used for transporting materials. In the background, two individuals dressed in bright orange safety vests and dark pants are standing on a rocky terrain. One person is wearing a hat, adding to their safety gear. The terrain is rugged and consists of layered rock formations, indicative of a mining or excavation site. The sky above is clear and blue, suggesting a sunny day."
BM276:MV-00004:zedx:20250414-213548_70.jpg,,person; auger-head; person,"[[[1226.036, 350.917], [1196.608, 359.628], [1130.847, 404.981], [1065.89, 448.12], [964.997, 516], [959.291, 513.897], [938.872, 526.212], [937.654, 536.981], [919.654, 549.94], [925.059, 565.258], [924.159, 570.964], [929.263, 583.88], [937.971, 587.484], [955.087, 573.367], [960.492, 580.275], [972.804, 573.367], [982.81, 564.622], [990.917, 565.223], [995.421, 560.718], [1011.336, 561.318], [1026.654, 555.981], [1024.152, 533.12], [1149.465, 439.822], [1158.773, 438.62], [1170.184, 430.511], [1173.787, 421.5], [1223.633, 387.56]]]","[[[1259.738, 0], [1253.165, 34.989], [1237.672, 54.624], [1237.766, 60.172], [1248.846, 69.006], [1247.719, 76.138], [1231.005, 79.516], [1230.817, 95.469], [1244.902, 93.605], [1241.709, 112.373], [1233.446, 121.945], [1239.362, 127.686], [1237.108, 142.512], [1235.043, 155.837], [1233.916, 169.913], [1232.883, 182.506], [1232.507, 195.268], [1232.695, 210.658], [1230.392, 220.837], [1230.254, 230.025], [1231.901, 238.939], [1227.865, 244.836], [1225.871, 257.965], [1224.698, 271.233], [1224.229, 283.776], [1225.285, 301.125], [1219.028, 311.02], [1225.637, 317.185], [1224.698, 333.289], [1223.76, 351.693], [1222.352, 376.907], [1220.945, 407.033], [1211.796, 406.128], [1209.684, 417.382], [1219.418, 421.605], [1216.136, 461.608], [1214.604, 488.266], [1212.749, 517.931], [1211.913, 543.592], [1191.855, 544.178], [1190.33, 565.747], [1210.388, 570.67], [1210.323, 601.199], [1203.633, 617.273], [1200.889, 632.371], [1201.987, 643.204], [1207.613, 650.884], [1206.378, 675.019], [1204.045, 721.821], [1200.477, 788.233], [1194.714, 866.589], [1191.915, 907.999], [1187.569, 954.901], [1183.942, 998.594], [1181.275, 1042.837], [1178.179, 1111.534], [1174.532, 1199], [1919, 1199], [1919, 0]]]","[[[1223, 365], [919, 567], [433, 1199], [1172, 1199]]]","auger, people, auger_head_in_shadow, bench","In the foreground, a large white mining truck is positioned on the right side of the image. Its front loader is raised, and it appears to be in the process of loading or unloading material. The truck's body is clean and well-maintained, with a smooth surface that reflects the sunlight. The loader's arm is extended towards the ground, possibly to assist in the loading process.

On the left side of the image, there is a large white mining truck with its front loader raised. The truck is partially visible, with its wheels and part of its body in view. The truck's body is clean and well-maintained, with a smooth surface that reflects the sunlight. The truck's wheels are large and sturdy, designed to handle the rough terrain of the mine.

In the background, there is a vast open-pit mine with a steep, rocky slope. The terrain is rugged and uneven, with layers of rock and earth visible. The sky above is clear and blue, indicating a sunny day. The mine's scale is emphasized by the vastness of the landscape and the presence of the mining trucks.

There are two individuals visible in the image. One person is standing near the front loader of the mining truck, wearing an orange safety vest and a black hat. This person appears to be monitoring the loading process. Another person is standing further back, closer to the edge of the pit, wearing a white shirt and dark pants. This person seems to be observing the surroundings or waiting for instructions."
BM276:MV-00004:zedx:20250414-211839_40.jpg,,person; person; person; person; auger-head,"[[[1232.65, 336.648], [1194.629, 343.26], [935.47, 439.407], [916.277, 434.572], [917.1, 437.359], [912.348, 438.802], [906.606, 437.291], [894.443, 442.516], [894.516, 452.704], [871.092, 462.827], [868.003, 486.743], [880.653, 505.253], [901.568, 499.645], [902.737, 504.841], [925.472, 496.918], [926.511, 493.021], [928.46, 490.423], [932.681, 489.866], [934.613, 495.338], [940.73, 495.177], [943.466, 491.475], [944.699, 485.227], [949.12, 485.204], [955.712, 495.935], [965.832, 496.923], [975.953, 492.48], [981.63, 486.31], [978.352, 473.667], [1126.5, 409.396], [1137.153, 410.635], [1143.869, 407.88], [1149.38, 405.125], [1152.996, 399.443], [1231.483, 365.38]]]","[[[1273.686, 0], [1269.173, 20.302], [1251.728, 43.953], [1261.731, 52.266], [1258.438, 67.238], [1253.314, 69.577], [1251.606, 101.42], [1238.431, 111.66], [1250.63, 122.754], [1240.871, 140.188], [1237.659, 155.881], [1237.09, 185.939], [1238.422, 206.715], [1234.742, 211.259], [1233.516, 215.602], [1233.893, 221.549], [1235.497, 227.415], [1232.855, 233.268], [1230.502, 292.815], [1223.854, 297.321], [1220.959, 302.867], [1224.819, 309.377], [1229.77, 310.747], [1228.388, 367.214], [1220.959, 371.873], [1219.502, 400.366], [1216.794, 437.214], [1213.002, 484.494], [1208.126, 594.135], [1203.105, 608.526], [1199.003, 624.244], [1199.968, 638.229], [1208.172, 655.854], [1206.052, 703.225], [1202.258, 767.261], [1198.04, 825.697], [1194.646, 873.797], [1189.418, 930.836], [1185.662, 978.138], [1182.527, 1024.92], [1170.409, 1199], [1918.71, 1199], [1919, 0]]]","[[[1225, 356], [868, 485], [393, 1199], [1169, 1199]]]","auger, people, auger_head_in_shadow, bench","In the foreground, a large white mining vehicle dominates the scene. Its cylindrical component is prominently displayed, featuring a series of horizontal grooves that give it a mechanical appearance. The vehicle's sturdy build is evident from its robust construction and the visible tracks on the ground beneath it.

In the middle ground, a white truck is parked on a dirt road. The truck's cab is clearly visible, and it appears to be a heavy-duty model, likely used for transporting materials in the mining operations. The road is uneven and stretches into the distance, suggesting a vast open space.

In the background, a person wearing a yellow safety vest and a white hard hat is standing on the road. The person is facing away from the camera, indicating they might be observing or directing activity. The safety vest and hard hat suggest they are a worker involved in the mining operations. Further back, another individual in a similar safety outfit can be seen, walking along the road, possibly heading towards or away from the truck.

The overall scene depicts a typical day at a mining site, with workers actively engaged in their tasks amidst the rugged terrain. The presence of multiple workers and the large machinery underscores the scale and intensity of the mining operations."
BM276:MV-00004:zedx:20250131-023752_16.jpg,,person; auger-head; person,"[[[1223.175, 340.573], [1195.692, 338.235], [928.585, 405.013], [911.949, 396.528], [883.752, 400.846], [881.918, 411.513], [856.585, 417.679], [858.54, 438.801], [857.858, 456.301], [866.494, 462.891], [891.269, 456.304], [894.221, 466.755], [913.767, 461.982], [917.678, 455.962], [920.12, 455.962], [920.585, 460.381], [933.994, 459.028], [936.208, 459.942], [936.023, 465.688], [962.157, 463.649], [966.921, 460.523], [971.462, 456.715], [971.795, 439.74], [1033.715, 423.008], [1123.767, 395.53], [1133.123, 399.037], [1147.157, 395.53], [1151.835, 388.514], [1222.006, 369.221]]]","[[[1919, 0], [1275.664, 0], [1267.73, 26.488], [1262.556, 25.424], [1247.859, 45.786], [1248.532, 49.937], [1252.237, 53.92], [1257.963, 58.52], [1257.046, 70.867], [1251.762, 73.983], [1249.834, 107.397], [1240.582, 115.103], [1245.722, 121.781], [1245.092, 139.556], [1240.784, 157.212], [1238.269, 174.238], [1238.977, 188.623], [1239.425, 202.359], [1233.973, 217.793], [1233.139, 229.739], [1235.641, 238.907], [1230.915, 245.852], [1233.139, 255.02], [1230.776, 274.904], [1227.731, 296.925], [1218.736, 306.429], [1227.731, 313.878], [1227.023, 337.042], [1224.522, 360.1], [1221.881, 390.269], [1219.192, 390.559], [1217.378, 392.536], [1216.461, 411.246], [1213.581, 471.697], [1213.169, 496.371], [1209.791, 515.382], [1208.412, 553.481], [1205.85, 581.749], [1201.78, 622.531], [1199.629, 655.348], [1195.176, 724.301], [1190.419, 787.33], [1183.161, 868.081], [1184.088, 878.553], [1183.755, 900.917], [1179.501, 902.431], [1170.901, 983.191], [1166.387, 1038.968], [1162.361, 1090.791], [1156.872, 1114.957], [1156.415, 1140.393], [1155.103, 1175.88], [1155.103, 1199], [1184.624, 1199], [1488.332, 1199], [1919, 1199]]]","[[[1224, 356], [856, 441], [397, 1199], [1152, 1199]]]","auger, people, road","In the foreground, a white cylindrical object with a coiled cable attached to it is prominently displayed. This object is positioned on a white platform, suggesting it might be part of some machinery or equipment. The cable is neatly coiled, indicating it is likely used for power or data transmission. In the background, there is a large open building with a gray roof, which appears to be a warehouse or storage facility. The building has several doors and windows, and there are some vehicles parked in front of it. The sky above is mostly clear with a few scattered clouds, suggesting it is a sunny day. The ground is covered with dry grass and there are some metal structures visible, possibly part of the industrial equipment."
BM276:MV-00004:zedx:20250414-212759_56.jpg,,person; auger-head; person,"[[[918, 542], [922.926, 558.198], [920.48, 561.729], [927.275, 576.399], [936, 579], [951.915, 567.144], [960.251, 574.226], [975.24, 566.784], [989.008, 559.646], [993.405, 550.515], [996.51, 558.397], [1006.929, 560.896], [1014.44, 557.874], [1026.101, 552.148], [1024.459, 527.781], [1056.967, 503.204], [1076.921, 485.822], [1148, 438], [1161, 434], [1168.662, 427.808], [1172.413, 419.477], [1222.48, 384.02], [1224.509, 348.663], [1194.502, 357.827], [1171, 372], [991, 492], [980, 502], [957.776, 501.538], [952.774, 508.203], [940.808, 515.999], [937.995, 530.995]]]","[[[1262.287, 0], [1256.651, 29.542], [1238.529, 55.132], [1251.973, 65.555], [1247.151, 76.497], [1244.512, 108.96], [1235.168, 120.489], [1241.874, 126.629], [1238.712, 153.248], [1235.57, 174.913], [1234.847, 196.983], [1235.013, 213.983], [1231.983, 216.734], [1230.762, 220.507], [1230.317, 226.166], [1230.762, 231.382], [1232.594, 239.038], [1229.263, 242.479], [1226.699, 300.914], [1222.466, 302.405], [1218.609, 308.755], [1221.786, 313.517], [1226.425, 316.908], [1225.223, 343.471], [1223.614, 384.093], [1222.026, 405.806], [1211.523, 407.488], [1211.356, 417.984], [1219.525, 421.149], [1215.728, 472.192], [1212.208, 543.891], [1208.1, 601.977], [1200.687, 615.05], [1197.853, 627.212], [1201.354, 643.873], [1208.109, 657.116], [1205.141, 702.018], [1200.974, 781.027], [1196.056, 855.026], [1192.314, 905.45], [1187.685, 956.441], [1184.076, 1001.908], [1178.71, 1100.017], [1169.653, 1199], [1918.889, 1199], [1918.889, 0]]]","[[[1226, 356], [918, 574], [421, 1199], [1172, 1199]]]","auger, people, auger_head_in_shadow, bench","The image captures a scene from a mining operation. In the foreground, a white truck is parked on a dirt road. The truck's large, circular component is visible, suggesting it might be part of a larger piece of machinery used for transporting materials. The truck's position on the right side of the image gives a sense of depth to the scene.

In the background, a white truck is parked on the left side of the image. This truck is also part of the mining operation, likely used for transporting materials or equipment. The two trucks are parked on a dirt road, which is surrounded by a vast expanse of rocky terrain. The terrain is rugged and uneven, with rocks of various sizes scattered across the landscape. The rocks are predominantly gray, with some areas showing signs of weathering.

There are two people visible in the image. One person is wearing an orange jacket and is standing on the left side of the image, near the white truck. The other person is wearing a hat and is standing on the right side of the image, near the white truck. The person in the orange jacket appears to be observing the surroundings, while the person in the hat seems to be engaged in some activity.

The sky above is clear and blue, indicating that the weather is good. The overall scene suggests a busy and active mining operation, with workers and machinery working together to extract and transport materials. The image provides a glimpse into the harsh and demanding environment of a mining site, where workers must navigate through challenging conditions to ensure the smooth operation of the machinery and the safe extraction of resources."
BM276:MV-00004:zedx:20250414-215036_81.jpg,,person; person; auger-head,"[[[1224.335, 346.556], [1201.934, 348.639], [1086.801, 418.932], [993.027, 475.167], [986.605, 473.402], [984.201, 476.681], [979.186, 475.981], [967.155, 481.71], [965.199, 485.91], [967.384, 488.971], [967.71, 494.442], [945.619, 508.074], [949.57, 525.708], [947.603, 528.768], [948.915, 542.98], [955.034, 550.414], [963.776, 551.07], [978.637, 542.761], [985.63, 550.195], [1002.24, 541.449], [1004.425, 535.984], [1010.981, 538.607], [1022.201, 529.944], [1032.1, 531.506], [1046.166, 532.547], [1055.543, 527.236], [1057.106, 497.661], [1077.423, 481.415], [1096.699, 468.919], [1158.694, 424.66], [1168.592, 424.139], [1183.179, 415.287], [1186.305, 405.394], [1224.856, 381.963]]]","[[[1262.594, 0], [1256.672, 29.031], [1241.443, 49.526], [1241.443, 53.591], [1244.996, 57.825], [1252.103, 62.568], [1250.718, 72.021], [1233.12, 74.561], [1233.12, 90.313], [1246.487, 89.466], [1244.626, 106.912], [1235.827, 117.244], [1242.765, 123.68], [1239.91, 147.566], [1236.579, 165.751], [1234.923, 182.649], [1235.003, 195.875], [1235.658, 207.227], [1231.089, 216.204], [1230.412, 226.197], [1233.289, 236.276], [1230.412, 242.882], [1229.397, 258.761], [1228.72, 274.302], [1228.212, 286.497], [1227.705, 297.507], [1219.752, 307.33], [1226.52, 314.783], [1225.514, 348.215], [1224.329, 379.55], [1223.281, 403.594], [1210.978, 404.932], [1209.507, 416.177], [1218.11, 418.925], [1215.646, 466.872], [1213.98, 496.348], [1212.921, 520.443], [1211.709, 541.774], [1193.747, 539.717], [1191.875, 562.205], [1209.393, 566.623], [1208.324, 599.186], [1203.242, 611.367], [1198.829, 626.226], [1199.364, 639.344], [1206.585, 651.225], [1206.05, 680.474], [1204.044, 732.48], [1200.701, 788.837], [1198.026, 829.497], [1195.485, 866.243], [1192.276, 907.373], [1186.525, 969.954], [1183.583, 1015.133], [1181.979, 1048.799], [1179.973, 1091.536], [1178.1, 1138.957], [1176.763, 1199], [1919, 1199], [1919, 0]]]","[[[1225, 358], [945, 528], [516, 1199], [1171, 1199]]]","auger, people, auger_head_in_shadow, bench","In the foreground, a large white mining truck is partially visible, its robust structure and sturdy wheels indicating its capability for heavy-duty tasks. The truck's cab is clearly visible, showcasing a sleek design with a driver's side mirror and a front windshield that reflect the surrounding environment. The truck's side features a series of horizontal bars, likely used for structural reinforcement. The vehicle is parked on a dirt road, with its rear wheels slightly elevated, suggesting it may have been recently used or is preparing for movement.

To the left of the truck, a white Isuzu LT8 truck is parked on the same dirt road. This truck is equipped with a large, cylindrical component on its roof, possibly a piece of equipment or machinery. The truck's side displays the Isuzu logo prominently, along with the model designation ""LT8."" The vehicle's cab is open, revealing a spacious interior with various compartments and storage areas. The truck's tires are large and rugged, suitable for navigating the challenging terrain of the open-pit mine.

In the background, another white Isuzu truck is visible, parked further down the road. This truck is also equipped with a large cylindrical component on its roof, similar to the one on the first truck. The truck's side displays the Isuzu logo and the model designation ""LT8,"" along with the word ""MAGNUM"" in bold letters. The vehicle's cab is open, revealing a spacious interior with various compartments and storage areas. The truck's tires are large and rugged, suitable for navigating the challenging terrain of the open-pit mine.

The scene is set in an open-pit mine, with the trucks parked on a dirt road that cuts through the rugged landscape. The surrounding area is a mix of dirt and gravel, with some vegetation visible in the distance. The sky above is clear, indicating a sunny day. The overall atmosphere is one of industrial activity, with the trucks"
BM276:MV-00004:zedx:20250414-215658_42.jpg,,person; person; auger-head,"[[[916.065, 477.962], [919.973, 496.707], [917.238, 499.831], [920.754, 519.357], [930.522, 523.653], [946.933, 514.281], [954.81, 519.562], [967.581, 517.932], [972.965, 512.173], [972.464, 506.663], [977.347, 506.288], [980.603, 509.919], [987.74, 508.541], [991.866, 501.394], [996.63, 509.167], [1003.391, 510.044], [1010.904, 509.668], [1023.209, 505.333], [1023.124, 480.696], [1041.097, 472.886], [1060.488, 462.338], [1074.763, 454.324], [1081.81, 450.562], [1106.191, 438.798], [1126.601, 428.53], [1145.42, 417.432], [1154.016, 417.432], [1163.64, 413.537], [1168.449, 409.692], [1174.334, 403.373], [1223.751, 377.489], [1226.637, 345.286], [1196.996, 345.967], [1168.473, 361.197], [1057.507, 413.136], [992.81, 442.562], [973.894, 450.805], [965.474, 446.795], [957.054, 446.194], [957.482, 449.845], [947.031, 449.602], [937.946, 454.141], [939.614, 466.842]]]","[[[1919, 0], [1263.447, 0], [1258.17, 26.137], [1242.694, 47.244], [1242.358, 51.396], [1244.378, 53.864], [1248.195, 56.444], [1253.407, 60.756], [1251.676, 72.152], [1233.549, 75.349], [1233.549, 88.707], [1248.322, 89.762], [1244.804, 107.689], [1235.659, 115.071], [1242.694, 123.156], [1240.713, 151.012], [1238.005, 173.328], [1236.947, 195.356], [1236.102, 206.545], [1232.3, 215.853], [1230.61, 226.197], [1232.511, 236.964], [1230.504, 253.241], [1230.082, 266.541], [1228.814, 280.475], [1227.547, 297.997], [1219.519, 306.678], [1225.645, 313.645], [1225.54, 341.969], [1225.117, 373.214], [1223.005, 402.77], [1212.692, 402.74], [1209.591, 413.893], [1219.942, 420.015], [1216.475, 447.161], [1215.981, 473.348], [1218.552, 498.493], [1218.552, 515.602], [1216.456, 540.109], [1195.332, 538.42], [1191.529, 558.898], [1209.422, 568.937], [1205.237, 617.223], [1203.335, 640.035], [1207.9, 656.384], [1207.169, 662.729], [1203.148, 744.074], [1200.102, 810.74], [1192.163, 906.86], [1186.087, 986.932], [1182.657, 1036.619], [1183.171, 1108.731], [1180.439, 1199], [1497.788, 1199], [1919, 1199]]]","[[[1224, 361], [916, 498], [492, 1199], [1173, 1199]]]","auger, people, auger_head_in_shadow, bench","In the foreground, a large white construction vehicle dominates the scene, its rear end and part of its body visible. The vehicle's rear section is equipped with a sizable cylindrical component, likely a part of its machinery or machinery attachment. The vehicle's design suggests it is used for heavy-duty tasks, possibly related to construction or mining operations. The rear end of the vehicle features a sizable cylindrical component, likely a part of its machinery or machinery attachment. The vehicle's design suggests it is used for heavy-duty tasks, possibly related to construction or mining operations.

On the left side of the image, two individuals are present. One person is dressed in a bright orange safety jacket and a black hard hat, while the other is wearing a black hard hat and a black jacket. They appear to be engaged in a discussion or working together, possibly overseeing or coordinating the activities on the construction site. Their attire is appropriate for the work environment, with the safety jackets and hard hats indicating a focus on safety and protection from potential hazards.

In the background, a white truck is parked on a dirt road. The truck's size and design suggest it is used for transporting materials or equipment. The road is surrounded by a rocky landscape, typical of a construction or mining site. The terrain is rugged, with visible rock formations and uneven ground, further emphasizing the challenging nature of the work environment. The overall scene captures a moment of activity and coordination on a construction site, highlighting the importance of safety measures and teamwork in such environments."
